"No","タイトル","巻号","章見出し","節見出し","項見出し","開始ページ","参照PDF URL","備考"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","壬申戸籍","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","地租改正","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","那珂郡役所新設をめぐる紛争","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","戦争と那珂地方","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","＜大正期＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","県是・郡是・町村是の作成","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","米騒動と那珂地方","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","郡役所、郡長の廃止","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","普通選挙法の成立","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","交通関係","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","神崎村報の創刊","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","４ 近代","日中戦争と太平洋戦争","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは24）"
"新刊","那珂市史","地誌編","Ⅰ 通史概説","５ 現代","","27","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に開始ページの記載なし"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","概観","31","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","＜役場＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","＜教育施設＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","本米崎小学校","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","横堀小学校","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","青年学校","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","中学校","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","＜産業と人口＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","人口及び戸数","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","＜久慈川の治水と神崎村＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","＜遺跡＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","杉遺跡","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","","海後遺跡","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは31）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","１ 本米崎地区","","39","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf",""
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","１ 本米崎地区","＜概観＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは39）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","１ 本米崎地区","＜小字名＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは39）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","１ 本米崎地区","＜石仏石塔＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは39）"
"新刊","那珂市史","地誌編","Ⅱ 神崎地区","１ 本米崎地区","＜社寺祠堂＞","","https://www.city.naka.lg.jp/data/doc/1745047723_doc_902_0.pdf","目次に個別開始ページの記載なし（親見出しの開始ページは39）"
